service_date,day_type,bus,rail_boardings,total_rides
8/28/01,W,933626,628532,1562158
8/29/01,W,901782,625324,1527106
8/30/01,W,913200,617044,1530244
8/31/01,W,986749,616977,1603726
9/1/01,A,639977,319699,959676
9/2/01,U,470771,243520,714291
9/3/01,U,448248,213584,661832
9/4/01,W,1120482,625640,1746122
9/5/01,W,1047878,644950,1692828
9/6/01,W,1053246,644766,1698012
9/7/01,W,1070339,659824,1730163
9/8/01,A,645427,341332,986759
9/9/01,U,492026,215773,707799
9/10/01,W,1075781,661092,1736873
9/11/01,W,957593,525953,1483546
9/12/01,W,931165,588507,1519672
9/13/01,W,1010171,607718,1617889
9/14/01,W,1034666,613645,1648311
9/15/01,A,615097,277875,892972
9/16/01,U,417392,191270,608662
9/17/01,W,919985,609381,1529366
9/18/01,W,1039365,626518,1665883
9/19/01,W,939442,625612,1565054
9/20/01,W,973094,646112,1619206
9/21/01,W,967583,626032,1593615
9/22/01,A,641096,307331,948427
9/23/01,U,361048,190813,551861
9/24/01,W,940207,622061,1562268
9/25/01,W,968563,638815,1607378
9/26/01,W,1028542,639258,1667800
9/27/01,W,1024125,642860,1666985
9/28/01,W,1024142,645884,1670026
9/29/01,A,639464,330008,969472
9/30/01,U,412037,219852,631889
10/1/01,W,1069361,639795,1709156
10/2/01,W,1078342,658020,1736362
10/3/01,W,1018388,657170,1675558
10/4/01,W,902598,649681,1552279
10/5/01,W,1034680,651273,1685953
10/6/01,A,628587,326860,955447
10/7/01,U,404926,287483,692409
10/8/01,W,802729,531294,1334023
10/9/01,W,1055377,645072,1700449
10/10/01,W,898767,637568,1536335
10/11/01,W,1025128,647937,1673065
10/12/01,W,1000153,625089,1625242
10/13/01,A,515481,273528,789009
10/14/01,U,409065,209437,618502
10/15/01,W,1037513,627937,1665450
10/16/01,W,1022047,634396,1656443
10/17/01,W,1036702,641266,1677968
10/18/01,W,1017434,646140,1663574
10/19/01,W,956423,642121,1598544
10/20/01,A,632093,319399,951492
10/21/01,U,433014,213638,646652
10/22/01,W,1012782,621894,1634676
10/23/01,W,1000304,638393,1638697
10/24/01,W,867027,625218,1492245
10/25/01,W,947047,618401,1565448
10/26/01,W,981933,613047,1594980
10/27/01,A,582223,291912,874135
10/28/01,U,405374,208481,613855
10/29/01,W,1019942,623086,1643028
10/30/01,W,994503,629005,1623508
10/31/01,W,978585,628587,1607172
11/1/01,W,1029256,641642,1670898
11/2/01,W,1042714,645966,1688680
11/3/01,A,648350,315004,963354
11/4/01,U,443453,222988,666441
11/5/01,W,1057697,629864,1687561
11/6/01,W,1044478,638448,1682926
11/7/01,W,1033982,640396,1674378
11/8/01,W,1004574,636400,1640974
11/9/01,W,931849,620257,1552106
11/10/01,A,618184,322793,940977
11/11/01,U,416118,218931,635049
11/12/01,W,812747,527242,1339989
11/13/01,W,1026715,641101,1667816
11/14/01,W,994462,624162,1618624
11/15/01,W,983434,615519,1598953
11/16/01,W,1046467,623566,1670033
11/17/01,A,653210,354828,1008038
11/18/01,U,414683,201199,615882
11/19/01,W,999890,600948,1600838
11/20/01,W,1005581,612391,1617972
11/21/01,W,988420,589664,1578084
11/22/01,U,322788,151915,474703
11/23/01,W,641780,356646,998426
11/24/01,A,504548,253414,757962
11/25/01,U,373755,186416,560171
11/26/01,W,993754,600439,1594193
11/27/01,W,985583,613858,1599441
11/28/01,W,981842,614405,1596247
11/29/01,W,972155,613392,1585547
11/30/01,W,1039082,625037,1664119
12/1/01,A,640965,307646,948611
12/2/01,U,418878,210748,629626
12/3/01,W,1051222,599106,1650328
12/4/01,W,1049416,613294,1662710
12/5/01,W,1039940,622264,1662204
12/6/01,W,1020021,623428,1643449
12/7/01,W,1023743,618300,1642043
12/8/01,A,620074,315639,935713
12/9/01,U,406917,207697,614614
12/10/01,W,1005376,597416,1602792
12/11/01,W,1010462,614387,1624849
12/12/01,W,981259,609660,1590919
12/13/01,W,990166,610845,1601011
12/14/01,W,982986,600798,1583784
12/15/01,A,623138,319051,942189
12/16/01,U,407448,213347,620795
12/17/01,W,995060,593314,1588374
12/18/01,W,1014592,608735,1623327
12/19/01,W,958790,591815,1550605
12/20/01,W,987827,586572,1574399
12/21/01,W,994499,569456,1563955
12/22/01,A,586969,268254,855223
